household_id,monthly_electricity_consumption_kwh,household_income,household_size,urban_or_rural,appliance_count,renewable_energy_access,electricity_dependency_score
HH_00141,208.5,59465,3,Urban,6,No,6.98
HH_00142,195.6,21961,3,Urban,3,No,8.33
HH_00143,210.1,34691,5,Rural,3,No,8.48
HH_00144,163.5,27521,2,Urban,1,No,7.69
HH_00145,188.2,18715,3,Urban,3,Yes,7.64
HH_00146,183.3,27100,4,Urban,2,No,7.44
HH_00147,178.1,7248,5,Urban,1,No,9.35
HH_00148,139.4,32553,3,Urban,1,Yes,6.36
HH_00149,128.4,31603,7,Urban,1,Yes,7.44
HH_00150,266.3,57408,4,Urban,6,No,7.02
HH_00151,149.6,5804,2,Rural,1,No,9.93
HH_00152,169.2,36143,3,Rural,2,Yes,7.99
HH_00153,192.6,57266,4,Urban,5,Yes,6.74
HH_00154,236.0,74185,4,Urban,5,No,6.19
HH_00155,183.7,33910,8,Urban,2,No,5.6
HH_00156,168.2,33072,6,Rural,3,No,9.85
HH_00157,147.2,14477,1,Urban,1,No,6.58
HH_00158,128.0,27610,1,Rural,1,No,7.74
HH_00159,203.3,11332,3,Rural,2,No,10.0
HH_00160,197.3,6682,2,Rural,1,No,9.13
HH_00161,228.0,17829,11,Urban,3,Yes,7.46
HH_00162,208.2,18059,5,Rural,2,No,8.97
HH_00163,197.8,21343,7,Urban,2,No,8.49
HH_00164,269.4,43859,4,Urban,6,No,6.78
HH_00165,230.2,11827,10,Urban,1,No,8.28
HH_00166,213.6,9767,10,Urban,1,No,6.93
HH_00167,180.2,41009,4,Rural,3,No,9.04
HH_00168,263.3,30958,8,Rural,2,Yes,9.68
HH_00169,218.4,18648,3,Urban,2,No,8.81
HH_00170,160.6,17967,3,Rural,2,No,7.96
HH_00171,234.7,64524,3,Urban,6,No,6.61
HH_00172,245.4,45009,6,Urban,3,Yes,8.48
HH_00173,298.1,38255,7,Urban,3,No,8.06
HH_00174,227.0,34725,6,Rural,2,Yes,8.73
HH_00175,205.1,22576,8,Urban,1,No,7.61
HH_00176,229.4,35660,6,Urban,4,Yes,7.61
HH_00177,171.0,34627,1,Urban,3,Yes,7.09
HH_00178,255.8,15282,7,Rural,2,No,9.68
HH_00179,199.1,14246,8,Rural,1,No,9.66
HH_00180,238.9,18804,6,Rural,2,No,8.29
HH_00181,146.8,18375,5,Rural,1,No,8.8
HH_00182,198.9,9595,3,Rural,1,No,8.99
HH_00183,230.1,56623,3,Urban,4,Yes,6.78
HH_00184,216.0,19482,6,Urban,1,Yes,7.88
HH_00185,198.9,15790,4,Rural,1,No,9.38
HH_00186,203.5,15077,5,Rural,1,Yes,8.67
HH_00187,230.0,43389,8,Urban,3,No,8.3
HH_00188,125.8,9814,2,Urban,1,No,7.85
HH_00189,211.5,30720,3,Rural,2,No,10.0
HH_00190,201.6,23316,4,Urban,2,No,8.75
HH_00191,257.6,37425,5,Rural,4,No,7.99
HH_00192,171.3,26270,3,Urban,2,No,7.15
HH_00193,202.5,33989,4,Urban,3,Yes,7.07
HH_00194,253.0,56749,4,Rural,5,No,8.74
HH_00195,224.8,29634,4,Urban,3,Yes,8.06
HH_00196,275.5,73600,3,Urban,7,No,6.8
HH_00197,191.7,35829,7,Urban,3,Yes,6.93
HH_00198,232.1,23095,2,Rural,3,No,10.0
HH_00199,190.7,36500,2,Urban,4,Yes,7.01
HH_00200,227.8,58210,1,Urban,5,No,7.55
HH_00201,218.2,11929,2,Rural,1,No,9.28
HH_00202,118.6,9973,3,Rural,1,Yes,9.29
HH_00203,214.7,23859,4,Urban,1,Yes,8.13
HH_00204,232.2,37157,5,Urban,4,Yes,8.58
HH_00205,187.4,30656,7,Urban,2,No,7.71
HH_00206,241.4,53598,6,Urban,6,No,6.65
HH_00207,226.2,76568,3,Urban,7,Yes,7.81
HH_00208,224.6,10022,4,Rural,2,No,9.74
HH_00209,158.5,22532,4,Urban,2,Yes,7.75
HH_00210,209.9,14784,1,Urban,2,No,8.58
HH_00211,248.5,60861,2,Rural,5,No,8.67
HH_00212,203.0,42020,3,Urban,2,No,9.22
HH_00213,136.6,46675,2,Urban,4,No,7.17
HH_00214,165.3,8054,5,Rural,1,No,10.0
HH_00215,166.1,17987,1,Rural,1,No,9.55
HH_00216,182.5,24432,3,Rural,1,No,9.43
HH_00217,204.0,30074,3,Urban,2,Yes,7.18
HH_00218,148.8,66737,2,Urban,7,Yes,6.52
HH_00219,250.2,72057,4,Rural,7,Yes,8.6
HH_00220,199.8,19828,5,Urban,1,Yes,6.97
HH_00221,174.1,18955,4,Urban,2,No,7.22
HH_00222,167.6,20670,5,Urban,1,No,7.66
HH_00223,235.1,47185,4,Rural,7,No,9.65
HH_00224,232.5,33642,2,Rural,3,Yes,8.97
HH_00225,164.4,32266,3,Urban,2,No,7.49
HH_00226,228.2,18399,4,Rural,2,No,8.34
HH_00227,252.9,21443,3,Urban,3,No,8.99
HH_00228,266.7,59701,3,Urban,5,No,7.82
HH_00229,156.9,27865,1,Urban,1,Yes,8.49
HH_00230,129.6,29943,2,Urban,1,No,6.31
HH_00231,183.2,50431,2,Urban,4,No,7.38
HH_00232,253.1,31266,4,Urban,3,No,6.7
HH_00233,205.2,15633,6,Rural,1,No,9.86
HH_00234,299.0,35222,12,Urban,3,No,7.64
HH_00235,204.6,29008,2,Rural,2,Yes,9.41
HH_00236,225.4,48340,4,Rural,5,No,8.07
HH_00237,196.2,49731,2,Urban,5,Yes,6.28
HH_00238,223.3,29147,1,Rural,3,No,8.48
HH_00239,219.9,31044,4,Urban,4,No,7.7
HH_00240,187.5,22889,4,Urban,3,Yes,7.41
HH_00241,196.2,26649,6,Rural,2,Yes,9.24
HH_00242,166.0,19947,1,Rural,1,Yes,8.34
HH_00243,159.0,14906,4,Urban,1,No,7.75
HH_00244,200.9,28746,4,Urban,1,No,8.61
HH_00245,272.1,33301,3,Urban,3,No,7.68
HH_00246,184.5,13251,1,Rural,1,No,9.6
HH_00247,323.0,85147,2,Urban,9,No,6.79
HH_00248,180.2,46676,3,Urban,4,Yes,6.76
HH_00249,332.2,79778,6,Urban,9,No,7.87
HH_00250,278.3,40993,5,Urban,5,Yes,7.56
HH_00251,215.6,18900,2,Rural,1,No,9.32
HH_00252,242.3,10261,5,Rural,1,No,9.89
HH_00253,208.8,35251,4,Urban,3,No,8.13
HH_00254,194.5,35275,3,Urban,2,Yes,6.38
HH_00255,168.4,15410,7,Urban,1,No,7.79
HH_00256,245.2,13022,4,Rural,1,No,10.0
HH_00257,176.4,14826,5,Rural,1,No,10.0
HH_00258,226.8,44855,1,Urban,4,Yes,7.12
HH_00259,275.9,46162,9,Urban,3,No,7.76
HH_00260,200.2,24693,2,Urban,2,Yes,7.31
HH_00261,285.6,46370,3,Urban,5,No,7.46
HH_00262,201.2,16137,2,Rural,1,No,8.86
HH_00263,140.5,6256,5,Urban,1,No,7.53
HH_00264,215.4,26167,4,Urban,3,No,7.07
HH_00265,176.3,34389,1,Rural,5,No,10.0
HH_00266,152.4,12759,2,Urban,1,No,7.41
HH_00267,204.8,37448,5,Urban,3,Yes,8.25
HH_00268,287.3,90604,1,Urban,10,No,6.02
HH_00269,135.1,22175,1,Urban,2,No,7.18
HH_00270,156.2,35045,1,Urban,3,Yes,7.7
HH_00271,209.9,16005,6,Urban,2,No,6.69
HH_00272,313.8,92915,5,Urban,8,Yes,6.86
HH_00273,161.2,33293,1,Urban,2,No,7.31
HH_00274,242.0,35992,1,Urban,3,No,6.93
HH_00275,237.4,40566,7,Rural,4,No,8.17
HH_00276,271.9,52051,5,Urban,5,Yes,8.65
HH_00277,189.4,20696,1,Urban,3,No,7.62
HH_00278,154.0,23735,3,Urban,1,No,7.53
HH_00279,265.1,24223,6,Rural,2,No,9.78
HH_00280,178.5,12377,3,Rural,3,No,8.62
HH_00281,130.2,9825,5,Urban,1,No,8.75
HH_00282,182.0,33899,4,Urban,2,No,7.38
HH_00283,139.8,14399,2,Urban,1,Yes,6.65
HH_00284,284.0,92306,1,Urban,9,Yes,5.91
HH_00285,176.9,38916,5,Urban,4,Yes,6.44
HH_00286,188.9,20332,2,Urban,2,No,7.72
HH_00287,170.8,23015,3,Urban,1,Yes,6.97
HH_00288,177.6,11265,4,Urban,1,No,7.09
HH_00289,238.6,18095,6,Urban,2,No,7.93
HH_00290,240.1,64401,4,Urban,6,Yes,6.88
HH_00291,275.0,68678,7,Rural,5,Yes,9.24
HH_00292,234.2,54119,2,Urban,5,Yes,7.97
HH_00293,210.5,17032,7,Rural,1,No,9.26
HH_00294,127.7,27009,3,Urban,1,Yes,7.93
HH_00295,174.8,10139,5,Rural,1,No,8.21
HH_00296,261.7,61944,5,Rural,6,No,8.95
HH_00297,190.7,16072,4,Rural,2,Yes,9.56
HH_00298,238.7,64055,4,Rural,5,No,9.12
HH_00299,216.6,41532,2,Rural,4,No,8.52
HH_00300,171.4,12315,3,Urban,2,No,7.56
HH_00301,220.3,12070,3,Rural,2,No,9.07
HH_00302,224.5,23427,2,Urban,3,No,8.74
HH_00303,132.0,33362,4,Urban,3,Yes,7.64
HH_00304,116.1,33756,4,Urban,1,No,6.21
HH_00305,248.4,108648,5,Rural,10,No,8.05
HH_00306,162.0,18338,4,Urban,1,Yes,7.32
HH_00307,222.5,40154,7,Urban,3,No,8.16
HH_00308,266.8,50665,4,Urban,7,No,7.53
HH_00309,229.1,34967,5,Urban,2,No,8.38
HH_00310,177.4,37391,4,Urban,1,No,8.17
HH_00311,178.2,18698,4,Urban,2,No,8.43
HH_00312,233.4,37309,7,Urban,3,Yes,8.25
HH_00313,212.3,47569,3,Urban,5,Yes,7.81
HH_00314,149.6,42602,4,Urban,3,No,6.69
HH_00315,256.8,49277,7,Urban,4,No,6.21
HH_00316,288.4,81688,4,Urban,9,Yes,5.87
HH_00317,276.4,61407,6,Urban,4,Yes,7.49
HH_00318,133.9,18786,4,Rural,1,No,7.4
HH_00319,124.5,17327,2,Urban,2,No,7.69
HH_00320,151.7,12558,3,Rural,1,No,9.08
HH_00321,209.0,15777,4,Rural,1,No,10.0
HH_00322,247.7,40721,5,Urban,4,No,7.19
HH_00323,184.1,26267,1,Urban,3,Yes,7.25
HH_00324,202.4,19963,2,Urban,3,No,8.71
HH_00325,253.5,8823,5,Rural,3,No,9.29
HH_00326,215.2,6683,9,Rural,1,No,9.2
HH_00327,209.2,15633,3,Rural,1,Yes,8.85
HH_00328,236.5,14491,4,Urban,1,No,7.99
HH_00329,155.2,19202,6,Urban,1,No,7.41
HH_00330,146.0,27632,2,Urban,1,Yes,7.26
HH_00331,139.3,8075,2,Rural,1,No,10.0
HH_00332,184.6,43956,2,Urban,5,Yes,7.26
HH_00333,187.3,28064,3,Rural,1,No,8.65
HH_00334,115.3,12945,2,Rural,1,No,8.49
HH_00335,141.5,26927,1,Urban,2,No,7.69
HH_00336,247.5,48318,3,Urban,5,No,6.69
HH_00337,221.8,22804,4,Urban,4,No,7.31
HH_00338,214.4,11254,5,Rural,1,No,8.64
HH_00339,224.9,71754,5,Urban,7,No,6.87
HH_00340,200.2,30596,3,Rural,3,No,7.92
HH_00341,289.0,50213,6,Urban,4,No,7.44
HH_00342,232.2,31367,9,Rural,3,No,8.51
HH_00343,198.4,5495,6,Rural,1,No,10.0
HH_00344,311.2,78858,3,Urban,10,No,6.97
HH_00345,175.9,22773,2,Rural,3,No,9.19
HH_00346,245.5,33010,6,Rural,2,Yes,9.6
HH_00347,205.1,22706,8,Rural,3,No,10.0
HH_00348,114.0,36042,1,Urban,3,Yes,8.38
HH_00349,200.7,29670,4,Urban,3,No,6.43
HH_00350,212.0,43625,8,Urban,4,No,6.74
HH_00351,166.1,29029,4,Urban,2,Yes,7.11
HH_00352,226.9,58913,2,Urban,4,Yes,7.46
HH_00353,165.3,13510,1,Urban,1,No,7.36
HH_00354,138.3,25289,3,Urban,2,Yes,7.11
HH_00355,299.2,119371,2,Urban,11,No,5.26
HH_00356,212.2,24039,6,Urban,3,Yes,7.82
HH_00357,183.0,15598,1,Rural,1,No,9.75
HH_00358,180.0,10599,4,Rural,1,No,8.36
HH_00359,164.2,42813,2,Urban,5,No,6.83
HH_00360,128.6,22501,3,Urban,1,No,6.1
HH_00361,112.8,16102,4,Rural,2,No,7.32
HH_00362,284.1,58245,10,Urban,5,No,7.35
HH_00363,256.5,23013,7,Urban,4,No,7.86
HH_00364,238.3,56177,6,Urban,6,No,7.14
HH_00365,263.5,29479,9,Rural,3,No,10.0
HH_00366,204.6,65912,3,Urban,7,Yes,5.48
HH_00367,217.7,19583,5,Rural,1,No,7.5
HH_00368,272.7,125854,6,Rural,10,No,6.33
HH_00369,205.9,65895,3,Urban,6,No,5.12
HH_00370,181.4,21873,3,Rural,4,Yes,8.63
HH_00371,210.0,10642,5,Rural,1,No,9.8
HH_00372,218.7,33019,2,Urban,3,No,7.66
HH_00373,183.1,82363,4,Urban,6,No,7.34
HH_00374,286.0,97618,2,Urban,9,No,6.54
HH_00375,296.4,84974,2,Urban,8,Yes,6.15
HH_00376,257.7,56062,6,Urban,6,No,6.58
HH_00377,166.0,8473,3,Rural,1,No,9.72
HH_00378,222.3,46882,3,Urban,6,Yes,5.94
HH_00379,139.4,16618,3,Urban,2,Yes,5.18
HH_00380,252.9,7373,4,Rural,1,No,9.7
HH_00381,248.7,40400,3,Urban,5,No,7.47
HH_00382,247.0,24638,5,Rural,2,Yes,10.0
HH_00383,247.9,30950,1,Rural,2,No,9.52
HH_00384,257.4,47163,6,Urban,3,Yes,7.41
HH_00385,245.3,48148,5,Urban,6,Yes,6.89
HH_00386,176.7,9969,3,Rural,1,No,8.69
HH_00387,249.7,16901,3,Rural,1,No,8.99
HH_00388,190.8,7287,6,Rural,1,Yes,10.0
HH_00389,173.9,10520,4,Urban,1,No,8.2
HH_00390,179.2,28071,4,Rural,2,Yes,9.76
HH_00391,119.5,22275,4,Urban,1,No,7.7
HH_00392,192.8,59077,4,Urban,5,Yes,6.22
HH_00393,244.3,68057,1,Urban,9,No,7.71
HH_00394,201.2,12413,5,Rural,2,Yes,10.0
HH_00395,272.0,49875,7,Urban,5,No,7.26
HH_00396,184.0,23538,3,Urban,2,No,8.04
HH_00397,225.5,5946,4,Rural,1,No,9.82
HH_00398,208.1,37687,3,Urban,4,No,6.96
HH_00399,221.7,26385,6,Urban,3,Yes,7.33
HH_00400,162.3,26877,1,Urban,3,No,6.8
HH_00401,362.6,114497,4,Urban,11,No,5.72
HH_00402,176.3,7205,3,Rural,1,No,10.0
HH_00403,222.3,22648,4,Rural,1,Yes,9.78
HH_00404,142.7,19268,4,Urban,1,No,8.12
HH_00405,209.9,31041,5,Rural,2,No,9.72
HH_00406,277.6,21529,8,Rural,1,No,8.84
HH_00407,164.4,43945,2,Urban,1,Yes,6.28
HH_00408,139.1,10210,3,Rural,1,No,9.21
HH_00409,172.6,22109,6,Urban,2,Yes,7.56
HH_00410,269.0,31397,2,Rural,4,No,9.49
HH_00411,226.5,52083,3,Rural,4,No,8.98
HH_00412,194.6,24012,3,Rural,2,No,9.89
HH_00413,165.0,20427,6,Urban,2,No,6.04
HH_00414,187.3,22059,4,Rural,2,No,8.48
HH_00415,394.5,150179,5,Urban,14,Yes,5.21
HH_00416,167.3,37218,2,Urban,3,Yes,7.73
HH_00417,219.5,84137,2,Urban,6,No,8.16
HH_00418,184.3,11544,2,Rural,1,No,8.53
HH_00419,156.1,34127,3,Urban,3,Yes,6.83
HH_00420,195.1,26104,7,Rural,2,No,8.71
HH_00421,174.3,22845,3,Rural,1,No,8.51
HH_00422,167.0,22098,4,Urban,1,No,6.91
HH_00423,188.4,21534,7,Urban,2,Yes,7.67
HH_00424,253.7,63327,1,Urban,7,No,7.65
HH_00425,262.7,71541,6,Urban,6,Yes,6.81
HH_00426,187.0,44596,7,Rural,4,No,8.02
HH_00427,324.2,103307,7,Urban,9,No,5.98
HH_00428,139.3,19514,1,Rural,1,No,8.34
HH_00429,203.0,29038,2,Urban,2,Yes,8.28
HH_00430,273.0,40486,2,Rural,3,No,9.96
HH_00431,195.4,27610,5,Rural,2,No,7.74
HH_00432,179.9,9983,3,Rural,2,Yes,9.52
HH_00433,201.6,9681,1,Rural,1,No,8.72
HH_00434,155.1,24180,3,Rural,1,No,9.13
HH_00435,273.6,31468,6,Urban,3,Yes,7.38
HH_00436,184.3,34449,5,Urban,3,No,6.32
HH_00437,246.9,66610,6,Urban,6,No,7.77
HH_00438,296.9,55189,4,Urban,5,No,6.89
HH_00439,191.1,39976,2,Rural,2,No,8.42
HH_00440,240.9,10983,6,Urban,1,Yes,7.92
HH_00441,210.6,20955,4,Rural,3,Yes,8.44
HH_00442,247.2,53099,7,Urban,5,Yes,6.91
HH_00443,72.4,7202,2,Rural,1,No,7.92
HH_00444,198.5,23627,2,Urban,3,Yes,5.71
HH_00445,192.2,21137,4,Urban,2,No,6.86
HH_00446,165.2,18235,2,Rural,1,No,8.76
HH_00447,232.2,47802,4,Rural,4,No,7.24
HH_00448,325.8,117789,5,Urban,12,No,5.47
HH_00449,155.7,21472,4,Urban,2,No,7.2
HH_00450,231.9,48003,5,Urban,4,No,7.1
HH_00451,197.5,48941,4,Urban,3,No,7.62
HH_00452,235.2,22713,6,Rural,1,No,10.0
HH_00453,190.1,22868,3,Rural,2,No,9.45
HH_00454,146.6,41996,2,Urban,2,No,6.47
HH_00455,299.7,96340,6,Urban,10,No,6.8
HH_00456,224.6,67818,4,Urban,6,No,7.91
HH_00457,165.8,9528,4,Rural,1,No,8.45
HH_00458,215.4,56417,2,Urban,5,No,6.14
HH_00459,159.8,30747,3,Rural,2,No,7.83
HH_00460,190.7,42280,6,Urban,4,Yes,6.8
HH_00461,336.3,69006,9,Urban,8,Yes,7.06
HH_00462,214.8,39181,3,Urban,4,No,8.49
HH_00463,194.7,20300,1,Rural,1,No,9.87
HH_00464,157.8,37640,1,Urban,2,No,7.64
HH_00465,174.5,10427,6,Urban,1,No,7.87
HH_00466,139.9,17152,4,Rural,1,No,9.52
HH_00467,180.7,23438,5,Urban,3,No,7.96
HH_00468,193.8,8833,5,Rural,2,No,10.0
HH_00469,321.4,82744,6,Urban,10,Yes,6.5
HH_00470,212.4,47364,4,Urban,4,No,7.37
HH_00471,157.9,34379,1,Urban,4,No,7.07
HH_00472,105.2,24939,4,Urban,2,Yes,7.66
HH_00473,203.4,41806,3,Urban,3,Yes,7.05
HH_00474,211.4,63447,2,Urban,4,Yes,5.91
HH_00475,240.2,21309,6,Urban,2,Yes,8.33
HH_00476,169.9,34898,6,Urban,1,No,8.58
HH_00477,233.0,58920,1,Urban,5,No,6.92
HH_00478,210.9,10954,6,Urban,1,No,8.09
HH_00479,216.8,33811,3,Urban,3,No,8.1
HH_00480,174.8,27052,3,Urban,3,No,7.41
HH_00481,198.9,32299,4,Urban,3,No,7.59
HH_00482,240.7,25903,4,Urban,2,No,7.38
HH_00483,200.2,38012,2,Urban,1,Yes,6.89
HH_00484,309.7,110999,4,Urban,11,Yes,6.41
HH_00485,188.9,28817,3,Urban,2,Yes,7.91
HH_00486,133.2,41694,3,Urban,3,No,8.0
HH_00487,357.2,115838,4,Urban,12,Yes,5.91
HH_00488,193.4,25162,5,Urban,1,No,6.6
HH_00489,305.5,103975,5,Urban,9,No,7.01
HH_00490,192.8,35111,6,Urban,3,No,6.79
HH_00491,207.6,52431,2,Rural,4,No,7.96
HH_00492,274.0,54897,3,Urban,6,No,6.6
HH_00493,200.2,21642,4,Rural,2,No,7.73
HH_00494,317.3,33648,7,Urban,4,No,7.23
HH_00495,219.2,12378,4,Rural,1,No,9.79
HH_00496,169.5,36628,4,Urban,3,Yes,7.01
HH_00497,208.7,59965,2,Urban,5,No,8.0
HH_00498,229.8,34725,9,Urban,3,Yes,8.41
HH_00499,227.8,28944,5,Urban,2,Yes,8.21
HH_00500,236.9,30110,6,Urban,3,Yes,5.93
HH_00501,262.5,32650,2,Rural,3,No,10.0
